12.2 million with 512 Dimensions vectors.


system : m20 base cluster + 3 * s50 search nodes.

Non Staggered :
Host CPU count 192
======================================================================================================================================================
Pipeline                                 RPM      Threads  Sample   Reqs     NumCand   topK    P50(ms)    P70(ms)    P95(ms)    P99(ms)   
VectorSearchOnly               1000      64        100       1000      500       250       88.28      104.95     142.29     185.93
VectorSearchOnly               1000      64        100       1000      500       500       128.46     146.98     194.82     232.26
VectorSearchOnly               1000      128       100       1000      100       100       26.57      32.49      48.07      64.72
VectorSearchOnly               1000      128       100       1000      300       100       35.79      45.09      78.08      94.21
VectorSearchOnly               1000      128       100       1000      500       100       62.97      125.08     271.28     341.79
VectorSearchOnly               1000      128       100       1000      500       250       151.65     198.50     286.94     349.01
VectorSearchOnly               1000      128       100       1000      500       500       234.86     284.72     421.34     526.80
VectorSearchOnly               1000      256       100       1000      100       100       19.64      23.07      34.62      45.33
VectorSearchOnly               1000      256       100       1000      300       100       30.87      38.28      60.87      83.22
VectorSearchOnly               1000      256       100       1000      500       100       105.28     187.66     406.64     489.16
VectorSearchOnly               1000      256       100       1000      500       250       72.44      102.27     211.08     285.86
VectorSearchOnly               1000      256       100       1000      500       500       126.11     191.03     338.69     427.03
functionalHybdrid              10000     64        100       10000     100       100       40.68      48.96      71.35      88.33
functionalHybdrid              10000     64        100       10000     300       100       37.64      50.60      96.64      130.86
functionalHybdrid              10000     64        100       10000     500       100       42.50      70.45      164.29     218.67
functionalHybdrid              10000     64        100       10000     500       250       86.98      102.07     214.20     247.34
functionalHybdrid              10000     64        100       10000     500       500       118.22     149.33     268.99     302.18
functionalHybdrid              10000     128       100       10000     100       100       70.24      94.32      158.65     205.13
functionalHybdrid              10000     128       100       10000     300       100       65.91      88.85      233.03     333.24
functionalHybdrid              10000     128       100       10000     500       100       43.96      74.63      540.39     719.07
functionalHybdrid              10000     128       100       10000     500       250       188.28     245.86     373.75     455.85
functionalHybdrid              10000     128       100       10000     500       500       503.06     625.42     847.88     1006.41
functionalHybdrid              10000     256       100       10000     100       100       159.87     188.04     253.91     6434.25
functionalHybdrid              10000     256       100       10000     300       100       159.90     186.36     251.04     4495.12
functionalHybdrid              10000     256       100       10000     500       100       118.69     208.82     898.01     2123.81
functionalHybdrid              10000     256       100       10000     500       250       390.09     493.48     730.83     878.84
functionalHybdrid              10000     256       100       10000     500       500       568.56     701.83     980.70     10394.53
functionalHybdrid              10000     512       100       10000     100       100       51.43      64.43      104.40     137.21
functionalHybdrid              10000     512       100       10000     300       100       73.94      94.13      153.45     204.54
functionalHybdrid              10000     512       100       10000     500       100       189.62     540.38     1433.30    1866.77
functionalHybdrid              10000     512       100       10000     500       250       317.96     439.72     654.48     7932.25
functionalHybdrid              10000     512       100       10000     500       500       725.34     878.09     1786.64    13050.47
VectorSearchOnly               10000     64        100       10000     100       100       41.05      50.47      76.59      96.90
VectorSearchOnly               10000     64        100       10000     300       100       37.59      50.32      89.51      117.98
VectorSearchOnly               10000     64        100       10000     500       100       33.91      55.51      199.52     265.46
VectorSearchOnly               10000     64        100       10000     500       250       94.36      110.59     158.18     190.77
VectorSearchOnly               10000     64        100       10000     500       500       150.35     177.47     230.32     263.74
VectorSearchOnly               10000     128       100       10000     100       100       87.27      106.78     154.66     196.87
VectorSearchOnly               10000     128       100       10000     300       100       96.15      114.13     161.59     205.41
VectorSearchOnly               10000     128       100       10000     500       100       56.66      99.24      391.87     536.92
VectorSearchOnly               10000     128       100       10000     500       250       207.32     253.22     357.29     449.66
VectorSearchOnly               10000     128       100       10000     500       500       298.15     354.10     515.72     609.60
VectorSearchOnly               10000     256       100       10000     100       100       76.77      110.93     202.75     285.57
VectorSearchOnly               10000     256       100       10000     300       100       87.00      116.20     208.36     292.50
VectorSearchOnly               10000     256       100       10000     500       100       47.64      114.35     542.69     3764.93
VectorSearchOnly               10000     256       100       10000     500       250       263.33     356.10     607.89     792.53
VectorSearchOnly               10000     256       100       10000     500       500       489.89     593.90     870.10     6274.22
VectorSearchOnly               10000     512       100       10000     100       100       98.99      120.31     177.14     265.07
VectorSearchOnly               10000     512       100       10000     300       100       69.96      91.76      177.57     259.58
VectorSearchOnly               10000     512       100       10000     500       100       70.68      314.27     1557.87    2631.66
VectorSearchOnly               10000     512       100       10000     500       250       816.14     909.88     1023.44    1180.65
VectorSearchOnly               10000     512       100       10000     500       500       641.23     909.67     3342.69    10410.08
functionalHybdrid              50000     64        100       50000     100       100       74.08      85.42      115.54     137.21
functionalHybdrid              50000     64        100       50000     300       100       49.98      64.38      99.10      123.33
functionalHybdrid              50000     64        100       50000     500       100       43.14      65.37      175.61     240.41
functionalHybdrid              50000     64        100       50000     500       250       85.93      96.88      130.75     564.46
functionalHybdrid              50000     64        100       50000     500       500       123.03     144.04     536.27     634.37
functionalHybdrid              50000     128       100       50000     100       100       79.36      102.09     166.02     216.92
functionalHybdrid              50000     128       100       50000     300       100       62.70      91.79      258.56     366.86
functionalHybdrid              50000     128       100       50000     500       100       49.09      85.17      464.86     631.69
functionalHybdrid              50000     128       100       50000     500       250       185.59     223.79     655.87     768.28
functionalHybdrid              50000     128       100       50000     500       500       265.85     326.57     766.67     896.85
functionalHybdrid              50000     256       100       50000     100       100       166.78     198.00     293.84     512.18
functionalHybdrid              50000     256       100       50000     300       100       138.60     192.76     411.30     661.13
functionalHybdrid              50000     256       100       50000     500       100       69.54      177.17     1120.73    1592.73
functionalHybdrid              50000     256       100       50000     500       250       345.76     427.31     888.11     1162.07
functionalHybdrid              50000     256       100       50000     500       500       647.02     767.55     1234.69    1561.69
functionalHybdrid              50000     512       100       50000     100       100       158.22     185.51     278.50     766.91
functionalHybdrid              50000     512       100       50000     300       100       156.32     185.75     278.34     600.63
functionalHybdrid              50000     512       100       50000     500       100       176.06     484.60     1910.22    2907.53
functionalHybdrid              50000     512       100       50000     500       250       392.63     470.91     969.49     2810.75
functionalHybdrid              50000     512       100       50000     500       500       743.77     889.18     1592.05    34463.40
VectorSearchOnly               50000     64        100       50000     100       100       42.00      51.44      77.90      97.77
VectorSearchOnly               50000     64        100       50000     300       100       42.70      51.32      75.21      93.26
VectorSearchOnly               50000     64        100       50000     500       100       34.49      54.22      216.68     280.39
VectorSearchOnly               50000     64        100       50000     500       250       94.26      112.47     248.20     288.28
VectorSearchOnly               50000     64        100       50000     500       500       130.69     157.86     299.95     340.05
VectorSearchOnly               50000     128       100       50000     100       100       80.30      106.04     183.89     243.62
VectorSearchOnly               50000     128       100       50000     300       100       88.76      107.41     158.89     202.63
VectorSearchOnly               50000     128       100       50000     500       100       33.55      55.10      575.28     758.80
VectorSearchOnly               50000     128       100       50000     500       250       211.86     281.78     438.46     525.45
VectorSearchOnly               50000     128       100       50000     500       500       393.51     474.99     667.59     793.45
VectorSearchOnly               50000     256       100       50000     100       100       109.94     143.12     291.36     496.22
VectorSearchOnly               50000     256       100       50000     300       100       147.61     203.64     375.84     517.14
VectorSearchOnly               50000     256       100       50000     500       100       41.00      110.07     1178.59    1613.66
VectorSearchOnly               50000     256       100       50000     500       250       274.26     370.98     660.30     918.19
VectorSearchOnly               50000     256       100       50000     500       500       502.28     622.89     922.83     1366.40
VectorSearchOnly               50000     512       100       50000     100       100       487.56     633.40     677.46     686.16
VectorSearchOnly               50000     512       100       50000     300       100       124.78     164.91     421.58     917.79
VectorSearchOnly               50000     512       100       50000     500       100       54.14      242.00     1728.30    3384.57
VectorSearchOnly               50000     512       100       50000     500       250       319.39     451.55     1124.26    10658.37
VectorSearchOnly               50000     512       100       50000     500       500       564.14     710.18     1578.92    20705.21
functionalHybdrid              100000    64        100       100000    100       100       41.52      49.02      69.71      85.68
functionalHybdrid              100000    64        100       100000    300       100       41.96      51.57      83.68      112.49
functionalHybdrid              100000    64        100       100000    500       100       43.09      67.28      175.81     235.90
functionalHybdrid              100000    64        100       100000    500       250       86.62      98.22      130.80     977.56
functionalHybdrid              100000    64        100       100000    500       500       118.77     134.21     207.22     1045.24
functionalHybdrid              100000    128       100       100000    100       100       84.43      108.55     176.22     220.44
functionalHybdrid              100000    128       100       100000    300       100       80.77      100.60     165.05     221.47
functionalHybdrid              100000    128       100       100000    500       100       48.62      87.79      502.64     665.46
functionalHybdrid              100000    128       100       100000    500       250       190.24     235.95     480.80     1174.83
functionalHybdrid              100000    128       100       100000    500       500       288.03     353.95     1115.40    1340.66
functionalHybdrid              100000    256       100       100000    100       100       160.89     191.97     289.56     426.31
functionalHybdrid              100000    256       100       100000    300       100       162.04     194.09     293.87     428.78
functionalHybdrid              100000    256       100       100000    500       100       55.58      115.43     1238.83    1641.30
functionalHybdrid              100000    256       100       100000    500       250       379.11     455.78     1313.56    1632.76
functionalHybdrid              100000    256       100       100000    500       500       640.07     769.88     1482.19    1945.81
functionalHybdrid              100000    512       100       100000    100       100       469.26     478.70     1416.73    1439.19
functionalHybdrid              100000    512       100       100000    300       100       180.75     225.83     620.87     1859.26
functionalHybdrid              100000    512       100       100000    500       100       123.89     231.33     1634.92    3130.18
functionalHybdrid              100000    512       100       100000    500       250       357.59     427.58     1239.66    2296.09
functionalHybdrid              100000    512       100       100000    500       500       728.57     878.07     2199.76    30964.10
VectorSearchOnly               100000    64        100       100000    100       100       41.66      51.65      80.05      102.49
VectorSearchOnly               100000    64        100       100000    300       100       41.39      51.57      79.75      100.71
VectorSearchOnly               100000    64        100       100000    500       100       34.34      56.45      205.26     263.66
VectorSearchOnly               100000    64        100       100000    500       250       93.23      108.92     341.85     400.49
VectorSearchOnly               100000    64        100       100000    500       500       138.92     184.33     400.24     483.89
VectorSearchOnly               100000    128       100       100000    100       100       90.51      112.83     176.60     230.91
VectorSearchOnly               100000    128       100       100000    300       100       89.21      111.18     172.77     222.30
VectorSearchOnly               100000    128       100       100000    500       100       35.76      60.44      558.49     751.88
VectorSearchOnly               100000    128       100       100000    500       250       223.01     285.13     529.13     627.29
VectorSearchOnly               100000    128       100       100000    500       500       398.26     496.16     715.47     871.34
